[2023-02-23T09:26:51.638] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:28:10.100] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:28:49.230] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:30:34.230] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:32:53.673] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:33:06.386] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:33:14.153] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:33:26.067] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:33:31.368] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:33:50.864] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:35:11.135] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:35:11.887] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:35:13.102] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:35:37.001] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:36:02.069] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
