[2023-02-22T13:13:13.113] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=40&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T13:38:04.681] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:39:24.244] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:41:17.075] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:41:46.477] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:42:05.122] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:42:11.098] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:42:17.670] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:42:25.788] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode=123 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:07.613] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode=123 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:39.145] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode=123 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:43.470] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode=12321 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:47.252] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=123&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:50.856] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:53.880] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode=1 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:44:57.352] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:45:35.518] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:46:35.213] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:46:41.348] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:46:43.665] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:49:31.095] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:49:53.703] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:50:10.512] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:50:52.258] [INFO] access - path:/api/basic/enumType/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:52:33.456] [INFO] access - path:/api/basic/enumType/delete/4 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:52:53.715] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:53:00.263] [INFO] access - path:/api/basic/enumType/delete/4 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:53:10.294] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=40&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T13:53:11.727] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=5&total=43&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T14:31:08.611] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
